ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
PS00028,PS00028,27,0.5305479454832278,0.9416450283764506,0.7492507492507493,0.986013986013986,0.986013986013986,989,"tags=52%, list=41%, signal=31%",O95365/P17544/Q68CP9/Q96K58/Q9NWS9/Q7Z2T5/O43670/Q96KR1/P25490/P17029/Q9Y467/P49711/Q9UL40/P08047
PS50082,PS50082,50,0.5126731304025112,0.9384466051545898,0.8561438561438561,0.986013986013986,0.986013986013986,914,"tags=34%, list=38%, signal=21%",O43815/P35606/P78406/Q14137/Q6IA86/Q6UXN9/Q7Z4S6/Q96J01/Q9BQ67/Q9BZK7/Q9NNW5/Q9UMS4/Q05048/Q86W42/P61962/Q9NRG9/O43684
ENZYME_5,ENZYME_5,25,0.529099373944214,0.934501299307273,0.7722277722277723,0.986013986013986,0.986013986013986,968,"tags=48%, list=41%, signal=29%",P06744/P18669/Q13526/P22033/Q13011/O15305/Q96G03/O95394/Q96AT9/Q15084/Q9Y3C6/P36871
PF00096,PF00096,13,0.5498886067964779,0.9338987645535652,0.7052947052947053,0.986013986013986,0.986013986013986,989,"tags=62%, list=41%, signal=36%",O95365/Q96K58/Q9NWS9/P25490/P17029/Q9Y467/P49711/P08047
PS50294,PS50294,51,0.5095804386495182,0.9335371513418297,0.8691308691308691,0.986013986013986,0.986013986013986,914,"tags=33%, list=38%, signal=21%",O43815/P35606/P78406/Q14137/Q6IA86/Q6UXN9/Q7Z4S6/Q96J01/Q9BQ67/Q9BZK7/Q9NNW5/Q9UMS4/Q05048/Q86W42/P61962/Q9NRG9/O43684
PS50293,PS50293,34,0.5170872117444238,0.9307487955175374,0.8131868131868132,0.986013986013986,0.986013986013986,865,"tags=32%, list=36%, signal=21%",O76094/O95801/P53041/Q6P597/Q9H0B6/Q9H3U1/Q9NSK0/Q9Y5Q9/Q07866/P30260/Q9BXJ9
PS51192,PS51192,33,0.515117820668621,0.9257660092961999,0.8341658341658341,0.986013986013986,0.986013986013986,920,"tags=36%, list=39%, signal=23%",O00148/O14981/O43143/P38919/Q6ZRS2/Q92841/Q9UNY4/Q92499/P42285/P26196/Q7L2E3/Q9NR30
PS00178,PS00178,12,0.5473151333625186,0.9251248050405748,0.7082917082917083,0.986013986013986,0.986013986013986,947,"tags=50%, list=40%, signal=30%",P56192/Q9NSE4/Q9P2J5/P41252/P54136/P23381
PF00307,PF00307,19,0.5318391476692871,0.9240689414419642,0.7962037962037962,0.986013986013986,0.986013986013986,333,"tags=21%, list=14%, signal=18%",O15020/O43707/P12814/Q15149
PF00179,PF00179,15,0.5377161593362234,0.9215746497089778,0.7552447552447552,0.986013986013986,0.986013986013986,407,"tags=20%, list=17%, signal=17%",P68036/Q15819/Q7Z7E8
PS50127,PS50127,15,0.5377161593362234,0.9215746497089778,0.7552447552447552,0.986013986013986,0.986013986013986,407,"tags=20%, list=17%, signal=17%",P68036/Q15819/Q7Z7E8
PF03810,PF03810,10,0.5532071461882573,0.9199970899324142,0.7322677322677322,0.986013986013986,0.986013986013986,929,"tags=50%, list=39%, signal=31%",Q96P70/O14980/Q9HAV4/O43592/Q14974
PS00039,PS00039,11,0.5456607785019921,0.9170703733075203,0.7372627372627373,0.986013986013986,0.986013986013986,767,"tags=27%, list=32%, signal=19%",P38919/Q92841/P26196
PS50005,PS50005,32,0.5086179836449132,0.912666576970698,0.8731268731268731,0.986013986013986,0.986013986013986,865,"tags=31%, list=36%, signal=20%",O76094/P53041/Q6P597/Q9H0B6/Q9H3U1/Q9NSK0/Q9Y5Q9/Q07866/P30260/Q9BXJ9
PS00674,PS00674,13,0.5355476960100739,0.9095429974027966,0.7792207792207793,0.986013986013986,0.986013986013986,983,"tags=54%, list=41%, signal=32%",O75351/P62333/Q9Y276/Q8NBU5/P46459/O15381/P62195
PF00004,PF00004,16,0.5255488793076983,0.9050807456694899,0.8061938061938062,0.986013986013986,0.986013986013986,983,"tags=44%, list=41%, signal=26%",O75351/P62333/Q9Y276/Q8NBU5/P46459/O15381/P62195
PS52002,PS52002,10,0.5430232329000284,0.90306099166642,0.7752247752247752,0.986013986013986,0.986013986013986,965,"tags=50%, list=40%, signal=30%",Q8ND56/Q96F86/P62316/Q9Y4Y9/P62314
PS50020,PS50020,12,0.5339051199677269,0.9024579075418153,0.7642357642357642,0.986013986013986,0.986013986013986,1007,"tags=58%, list=42%, signal=34%",O14776/Q13526/Q6ZWJ1/P46939/Q5TCQ9/O60828/O95817
PS50157,PS50157,27,0.5042498405682451,0.8949697373688471,0.9070929070929071,0.986013986013986,0.986013986013986,989,"tags=41%, list=41%, signal=24%",O95365/P17544/Q96K58/Q9NWS9/Q7Z2T5/P25490/Q9Y6X8/P17029/Q9Y467/P49711/P08047
PF01585,PF01585,12,0.5258118856455858,0.8887779426221184,0.8081918081918081,0.986013986013986,0.986013986013986,850,"tags=33%, list=36%, signal=22%",O15226/Q8N302/P18583/Q9BRR8
PF17862,PF17862,12,0.5218665666016662,0.8821091840060261,0.8201798201798202,0.986013986013986,0.986013986013986,983,"tags=50%, list=41%, signal=30%",O75351/P62333/Q8NBU5/P46459/O15381/P62195
PS50174,PS50174,13,0.5176871669593729,0.879209715700715,0.8421578421578422,0.986013986013986,0.986013986013986,850,"tags=31%, list=36%, signal=20%",O15226/Q8N302/P18583/Q9BRR8
